     n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
   197,      2218,         480,       1057,     2420,       1347,      1400
   198,      2119,         487,        826,     2424,       1353,      1364
   199,      2126,         494,        869,     2441,       1360,      1365
   200,      2250,         491,        894,     2454,       1373,      1385
   201,      2211,         498,        923,     2486,       1392,      1363
   202,      2217,         507,        854,     2497,       1392,      1375
   203,      2157,         505,        877,     2511,       1401,      1477
   204,      2299,         493,       1072,     2534,       1417,      1483
   205,      2324,         506,        933,     2543,       1413,      1389
   206,      2200,         539,        959,     2565,       1424,      1407
   207,      2151,         522,        888,     2553,       1418,      1487
   208,      2441,         536,        930,     2584,       1439,      1377
   209,      2107,         529,        917,     2598,       1439,      1484
   210,      2215,         532,        873,     2621,       1460,      1458
   211,      2152,         542,        940,     2632,       1471,      1511
   212,      2432,         525,        923,     2652,       1482,      1435
   213,      2315,         527,        965,     2669,       1488,      1504
   214,      2270,         551,        902,     2676,       1493,      1426
   215,      2321,         553,       1023,     2698,       1508,      1693
   216,      2146,         561,        906,     2709,       1506,      1444
   217,      2406,         566,        987,     2712,       1505,      1475
   218,      2711,         546,       1007,     2736,       1513,      1536
   219,      2336,         558,       1055,     2749,       1522,      1535
   220,      2187,         575,        917,     2775,       1541,      1510
   221,      2674,         566,       1012,     2796,       1553,      1579
   222,      2313,         574,        958,     2804,       1556,      1532
   223,      2452,         563,       1066,     2831,       1574,      1542
   224,      2323,         578,        929,     2832,       1576,      1592
   225,      2446,         584,        997,     2849,       1590,      1711
   226,      2412,         589,       1029,     2863,       1587,      1698
   227,      2471,         567,       1008,     2888,       1608,      1572
   228,      2369,         602,       1119,     2897,       1599,      1657
   229,      2568,         578,        988,     2909,       1615,      1699
   230,      2571,         596,       1100,     2923,       1621,      1592
   231,      2895,         591,       1103,     2952,       1635,      1686
   232,      2427,         584,       1023,     2966,       1647,      1657
   233,      2664,         600,       1016,     2976,       1651,      1724
   234,      2602,         582,       1041,     2974,       1649,      1624
   235,      2601,         604,       1457,     3010,       1673,      1664
   236,      2602,         611,       1060,     3014,       1677,      1688
   237,      2667,         612,       1168,     3032,       1692,      1652
   238,      2614,         623,       1103,     3057,       1691,      1659
   239,      2520,         632,       1044,     3059,       1691,      1690
   240,      2895,         630,       1137,     3073,       1707,      2140
   241,      2729,         621,       1086,     3099,       1720,      1725
