    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  289,           418,             132,            165,      2489,         415,        981,     4031,       2288,      2226
  290,           419,             132,            165,      2546,         440,        979,     4046,       2294,      2241
  291,           420,             132,            205,      2619,         433,        996,     4059,       2306,      2245
  292,           421,             132,            165,      2705,         437,       1018,     4077,       2316,      2252
  293,           423,             133,            167,      2498,         440,       1011,     4094,       2321,      2343
  294,           425,             134,            169,      2467,         427,        958,     4112,       2334,      2240
  295,           426,             134,            168,      2634,         435,       1002,     4128,       2344,      2250
  296,           427,             134,            189,      2674,         441,       1044,     4148,       2348,      2300
  297,           428,             134,            168,      2798,         437,       1066,     4158,       2356,      2468
  298,           430,             135,            203,      3119,         448,       1116,     4184,       2371,      2370
  299,           432,             136,            200,      2969,         455,       1090,     4201,       2374,      2508
  300,           433,             136,            168,      2626,         455,       1012,     4219,       2394,      2352
  301,           434,             136,            169,      2898,         439,       1096,     4236,       2396,      2419
  302,           435,             136,            170,      2981,         445,       1086,     4250,       2416,      2356
  303,           436,             136,            171,      2865,         451,       1061,     4266,       2414,      2723
  304,           437,             136,            209,      2957,         453,       1093,     4287,       2434,      2407
  305,           438,             136,            173,      3016,         456,       1142,     4304,       2438,      2570
  306,           439,             136,            201,      3028,         463,       1365,     4321,       2448,      2574
  307,           442,             138,            175,      2990,         469,       1226,     4340,       2460,      2619
  308,           443,             138,            231,      3082,         475,       1235,     4358,       2472,      2560
  309,           444,             138,            173,      2555,         454,       1117,     4377,       2482,      2424
  310,           445,             138,            174,      3105,         456,       1268,     4389,       2486,      2538
  311,           446,             138,            217,      2923,         473,       1302,     4411,       2498,      2546
  312,           447,             138,            172,      2754,         463,       1053,     4432,       2508,      2542
  313,           450,             140,            176,      2870,         452,       1111,     4449,       2518,      2519
  314,           452,             141,            244,      2887,         467,       1123,     4466,       2527,      2474
  315,           453,             141,            178,      3174,         457,       1187,     4482,       2539,      2536
  316,           454,             141,            215,      2987,         465,       1139,     4499,       2545,      2491
  317,           455,             141,            178,      3269,         463,       1207,     4521,       2561,      2573
  318,           456,             141,            214,      2887,         478,       1093,     4535,       2565,      2588
  319,           457,             141,            213,      3187,         467,       1157,     4555,       2575,      2568
  320,           458,             141,            180,      3136,         485,       1201,     4567,       2577,      2649
  321,           459,             141,            181,      3133,         466,       1142,     4591,       2595,      2638
  322,           460,             141,            180,      3139,         479,       1150,     4595,       2591,      2578
  323,           462,             142,            181,      2902,         491,       1152,     4618,       2608,      2719
  324,           464,             143,            181,      3190,         478,       1245,     4639,       2620,      2523
  325,           465,             143,            187,      3195,         483,       1264,     4655,       2626,      2602
  326,           466,             143,            182,      2907,         481,       1165,     4673,       2644,      2586
  327,           467,             143,            183,      3033,         468,       1163,     4695,       2652,      2692
  328,           468,             143,            182,      2926,         486,       1145,     4707,       2654,      2594
  329,           469,             143,            183,      3172,         482,       1172,     4719,       2664,      2773
  330,           470,             143,            194,      2885,         482,       1183,     4746,       2680,      2853
  331,           471,             143,            191,      3142,         488,       1255,     4765,       2690,      3526
  332,           473,             144,            193,      3428,         496,       1420,     4779,       2701,      2709
  333,           476,             146,            253,      3685,         499,       1447,     4799,       2709,      2730
  334,           477,             146,            192,      3224,         490,       1650,     4809,       2711,      2764
  335,           479,             147,            193,      3412,         483,       1263,     4834,       2724,      2755
  336,           480,             147,            187,      3222,         492,       1221,     4848,       2732,      2842
  337,           481,             147,            186,      3514,         505,       1267,     4875,       2748,      2764
  338,           482,             147,            188,      3508,         514,       1447,     4882,       2758,      2702
  339,           483,             147,            189,      3692,         506,       1366,     4903,       2762,      2832
  340,           484,             147,            189,      3424,         493,       1261,     4921,       2774,      2828
  341,           487,             149,            240,      3102,         492,       1162,     4939,       2784,      2808
  342,           488,             149,            192,      3132,         500,       1178,     4956,       2794,      2806
  343,           489,             149,            192,      3379,         498,       1293,     4977,       2806,      2849
  344,           490,             149,            191,      3090,         505,       1203,     4996,       2818,      2867
  345,           491,             149,            190,      3478,         508,       1346,     5005,       2822,      2871
  346,           492,             149,            219,      3326,         512,       1296,     5024,       2830,      2831
