   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 711,        122087,          121383,          95983,     10147,        2057,       4121,        251695,             703,          84876,    11322,       6119,      6534
 712,        122112,          121407,          82883,      9492,        2104,       3935,        252405,             705,          82613,    11348,       6148,      7836
 713,        122137,          121431,          88378,     10234,        2068,       4420,        253116,             707,          85805,    11356,       6157,      7795
 714,        122639,          121932,          83148,      9893,        2072,       4263,        253828,             707,          83046,    11370,       6169,      8009
 715,        123287,          122579,          82480,     10270,        2101,       4761,        254541,             708,          87334,    11391,       6171,      7266
 716,        123686,          122977,          83326,     10676,        2050,       4242,        255255,             706,         103039,    11412,       6177,     13482
 717,        124329,          123619,          99865,      9980,        2088,       4372,              ,                ,               ,    11427,       6186,      7948
 718,        124441,          123730,          97063,      9596,        2108,       5336,              ,                ,               ,    11425,       6195,      8120
 719,        124613,          123901,          85071,     10453,        2073,       4576,              ,                ,               ,    11470,       6210,      6770
 720,        125185,          124472,          86130,     10950,        2054,       5208,              ,                ,               ,    11491,       6227,      7114
 721,        125721,          125007,          84537,      9749,        2117,       4411,              ,                ,               ,    11489,       6214,      7085
 722,        125809,          125094,          85591,     10046,        2115,       5647,              ,                ,               ,    11511,       6238,      8587
 723,        126274,          125558,          87421,     10228,        2084,       4783,              ,                ,               ,    11538,       6229,      7260
 724,        126530,          125813,          86108,     10326,        2079,       4739,              ,                ,               ,    11563,       6265,      7742
 725,        127079,          126361,          89195,     10288,        2112,       4590,              ,                ,               ,    11583,       6261,      6962
 726,        127611,          126892,          95342,     10779,        2112,       4348,              ,                ,               ,    11594,       6260,      7184
 727,        127644,          126924,         100504,      9995,        2130,       3943,              ,                ,               ,    11625,       6290,      7933
 728,              ,                ,               ,      9654,        2167,       5620,              ,                ,               ,    11628,       6281,      7132
 729,              ,                ,               ,     10626,        2118,       6496,              ,                ,               ,    11642,       6314,     10263
 730,              ,                ,               ,     11704,        2130,       5513,              ,                ,               ,    11655,       6320,      7267
 731,              ,                ,               ,     10071,        2137,       5534,              ,                ,               ,    11697,       6331,      8364
 732,              ,                ,               ,      9823,        2152,       4311,              ,                ,               ,    11726,       6345,      9424
 733,              ,                ,               ,      9927,        2146,       5329,              ,                ,               ,    11732,       6353,      7895
 734,              ,                ,               ,     11052,        2155,       4215,              ,                ,               ,    11758,       6353,      7826
 735,              ,                ,               ,     10254,        2192,       4631,              ,                ,               ,    11776,       6378,      7109
 736,              ,                ,               ,     10837,        2152,       4826,              ,                ,               ,    11808,       6386,      7768
 737,              ,                ,               ,      9827,        2198,       4793,              ,                ,               ,    11834,       6402,      7244
 738,              ,                ,               ,     10747,        2108,       4878,              ,                ,               ,    11821,       6398,      9186
 739,              ,                ,               ,      9950,        2197,       5631,              ,                ,               ,    11848,       6392,     11760
 740,              ,                ,               ,     10227,        2164,       5450,              ,                ,               ,    11880,       6433,      8014
 741,              ,                ,               ,     10404,        2172,       4403,              ,                ,               ,    11876,       6420,      7083
 742,              ,                ,               ,     10051,        2161,       4476,              ,                ,               ,    11896,       6439,      7102
 743,              ,                ,               ,     10856,        2164,       4475,              ,                ,               ,    11927,       6457,      7188
 744,              ,                ,               ,     10762,        2174,       4372,              ,                ,               ,    11963,       6460,      7884
 745,              ,                ,               ,     10111,        2215,       4820,              ,                ,               ,    11993,       6490,      7098
 746,              ,                ,               ,     10743,        2186,       4655,              ,                ,               ,    11992,       6492,      9068
 747,              ,                ,               ,     10875,        2189,       4812,              ,                ,               ,    11990,       6488,      7922
 748,              ,                ,               ,     10233,        2216,       4307,              ,                ,               ,    12039,       6506,      7245
 749,              ,                ,               ,     10156,        2248,       4851,              ,                ,               ,    12026,       6508,      7706
 750,              ,                ,               ,     10433,        2229,       4249,              ,                ,               ,    12063,       6538,      7897
 751,              ,                ,               ,     10845,        2168,       4808,              ,                ,               ,    12070,       6532,      8824
 752,              ,                ,               ,     10331,        2212,       5535,              ,                ,               ,    12117,       6554,      8003
 753,              ,                ,               ,     10446,        2224,       4228,              ,                ,               ,    12139,       6566,      7469
 754,              ,                ,               ,     10645,        2219,       4507,              ,                ,               ,    12156,       6575,      7747
 755,              ,                ,               ,     10745,        2233,       6087,              ,                ,               ,    12160,       6573,      8262
 756,              ,                ,               ,     10786,        2230,       4348,              ,                ,               ,    12182,       6586,      7310
 757,              ,                ,               ,     11128,        2189,       5475,              ,                ,               ,    12201,       6610,      8057
 758,              ,                ,               ,     10391,        2272,       4401,              ,                ,               ,    12229,       6624,      7339
 759,              ,                ,               ,     10594,        2211,       4268,              ,                ,               ,    12224,       6616,      7317
 760,              ,                ,               ,     10707,        2213,       4241,              ,                ,               ,    12251,       6630,      7354
 761,              ,                ,               ,     11342,        2182,       4741,              ,                ,               ,    12282,       6635,      7043
