    n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  268,      3243,         709,       1234,     3484,       1916,      1982
  269,      2908,         689,       1272,     3503,       1922,      1917
  270,      2990,         709,       1291,     3518,       1930,      1968
  271,      3253,         692,       1273,     3546,       1951,      2013
  272,      2989,         715,       1318,     3558,       1951,      1972
  273,      3185,         720,       1286,     3579,       1969,      1985
  274,      3197,         723,       1269,     3601,       1991,      2091
  275,      3319,         726,       1418,     3607,       1980,      2048
  276,      3100,         729,       1281,     3617,       1988,      1985
  277,      3149,         733,       1373,     3645,       2005,      2018
  278,      3096,         744,       1312,     3641,       1994,      2026
  279,      3569,         740,       1335,     3672,       2004,      2047
  280,      3054,         748,       1350,     3686,       2031,      2159
  281,      3032,         756,       1216,     3704,       2037,      2129
  282,      3081,         745,       1262,     3716,       2040,      2048
  283,      3366,         745,       1402,     3731,       2052,      2139
  284,      3232,         764,       1320,     3753,       2068,      2058
  285,      3400,         740,       1301,     3771,       2074,      2137
  286,      3635,         760,       1464,     3778,       2086,      2075
  287,      3371,         759,       1408,     3805,       2089,      2049
  288,      3245,         769,       1360,     3818,       2102,      2198
  289,      3474,         755,       1490,     3844,       2104,      2135
  290,      3199,         785,       1351,     3840,       2113,      2095
  291,      3322,         771,       1388,     3878,       2128,      2191
  292,      3622,         792,       1393,     3878,       2145,      2159
  293,      3558,         768,       1429,     3915,       2153,      2313
  294,      3525,         779,       1349,     3906,       2150,      2226
  295,      3536,         788,       1468,     3935,       2170,      2196
  296,      3685,         788,       1428,     3950,       2174,      2243
  297,      3491,         794,       1445,     3972,       2173,      2237
  298,      3787,         785,       1427,     3982,       2199,      2227
  299,      3295,         797,       1386,     4001,       2205,      2275
  300,      3955,         766,       1460,     4005,       2206,      2234
  301,      3283,         829,       1365,     4033,       2216,      2489
  302,      3637,         797,       1511,     4064,       2235,      2313
  303,      3474,         815,       1368,     4074,       2246,      2256
